u_mask,l_mask,presence_fraction,u_vaccination_ratio,l_vaccination_ratio,vaccination_modification
FALSE,FALSE,overbooked,0.85,0.85,0.5
TRUE,TRUE,overbooked,0.85,0.85,0.5
FALSE,FALSE,0.5,0.85,0.85,0.5
TRUE,TRUE,0.5,0.85,0.85,0.5
FALSE,FALSE,0.25,0.85,0.85,0.5
TRUE,TRUE,0.25,0.85,0.85,0.5
TRUE,TRUE,0.25,0.85,0.85,0
TRUE,TRUE,0.25,0.85,0.85,0.3
TRUE,TRUE,0.25,0.85,0.85,0.7
TRUE,TRUE,0.5,0.85,0.85,0.9
FALSE,FALSE,overbooked,0.95,0.95,0.5
TRUE,TRUE,overbooked,0.95,0.95,0.5
FALSE,FALSE,0.5,0.95,0.95,0.5
TRUE,TRUE,0.5,0.95,0.95,0.5
FALSE,FALSE,0.25,0.95,0.95,0.5
TRUE,TRUE,0.25,0.95,0.95,0.5
FALSE,FALSE,0.5,0.95,0.95,0.5
